N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso,Tipo de Imóvel,Data do Leilão,Horário do Leilão
1444401036653,DF ,BRASILIA ,RIACHO FUNDO I ,"QUADRA AREA CENTRAL 02 (AC 2), N. SN, Apto 512, BL A, LT 01, 02 E 12 ",301955.88,298000.0,0.0,"Apartamento, 0.00 de área total, 70.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401036653,Apartamento,26/06/2024,10h00
1555535434736,DF ,BRASILIA ,RESIDENCIAL PORTO PI ,"RUA 500, N. 501, CASA 88 ",255102.0,230329.95,0.0,"Casa, 0.00 de área total, 73.22 de área privativa, 88.40 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555535434736,Casa,05/06/2024,10h00
8555536547877,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QUADRA QNN 11, N. SN, Apto 108, LT 05 VIA NN11B ",155699.0,130000.0,0.0,"Apartamento, 0.00 de área total, 33.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536547877,Apartamento,29/07/2024,10h00
0000010166342,DF ,BRASILIA ,NORTE (AGUAS CLARAS) ,"RUA DAS FIGUEIRAS, N. S/N, Apto 1005, LT 05, TR A ",729482.38,592000.0,0.0,"Apartamento, 0.00 de área total, 86.62 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10166342,Apartamento,10/07/2024,10h00
8787708768460,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"RUA 100, N. SN, Apto 101, BL 17 SETOR TOTAL VILLE COND 14 ",200385.0,146500.0,0.0,"Apartamento, 0.00 de área total, 61.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708768460,Apartamento,30/07/2024,10h00
8787700047623,DF ,BRASILIA ,RIACHO FUNDO II ,"  QN 22, N. 0, Apto 404, BL 19,  LTS 01 A 05, CJ 03 ",189908.0,135000.0,0.0,"Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700047623,Apartamento,22/07/2024,10h00
8555537815522,DF ,BRASILIA ,SETOR INDUSTRIAL (TAGUATINGA) ,"QUADRA QI 24, N. 0, Apto 408, TORRE F  LOTES 14 A 27 ",354325.53,250000.0,0.0,"Apartamento, 0.00 de área total, 52.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537815522,Apartamento,05/06/2024,10h00
8555535770939,DF ,BRASILIA ,SETOR INDUSTRIAL (TAGUATINGA) ,"QUADRA QI, N. 0, Apto 1612, TORRE A  QUADRA QI 24 ",329344.17,230000.0,0.0,"Apartamento, 0.00 de área total, 44.97 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535770939,Apartamento,22/07/2024,10h00
1444407340192,DF ,BRASILIA ,PARQUE DAS ARVORES ,"TRAVESSA IPEROXO, N. 4, 0 ",715870.59,448300.0,0.0,"Terreno, 0.00 de área total, 0.00 de área privativa, 909.66 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407340192,Terreno,19/06/2024,10h00
8555503350713,DF ,BRASILIA ,SETOR MEIRELES SANTA ,"RUA 500, N. SN, Apto 404, BL E  LT 502 ",251563.28,136000.0,0.0,"Apartamento, 0.00 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503350713,Apartamento,01/07/2024,10h00
1787700659167,DF ,CEILANDIA ,CEILANDIA SUL ,"Q QNM 29, N. 0, Apto 702, TORRE 2 AREA ESPECIAL J ",232000.0,232000.0,0.0,"Apartamento, 0.00 de área total, 42.11 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700659167,Apartamento,21/05/2024,10h00
8444409539920,DF ,CEILANDIA ,CEILANDIA NORTE ,"QUADRA QNO 11, N. SN, CONJ F LOTE 23 ",344000.0,344000.0,0.0,"Casa, 0.00 de área total, 95.00 de área privativa, 144.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409539920,Casa,01/07/2024,10h00
0000010007624,DF ,CEILANDIA ,CEILANDIA SUL ,"QNM 17, N. 37, CJ G, LT 37 ",1090000.0,905000.0,0.0,"Prédio, 0.00 de área total, 60.84 de área privativa, 249.90 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10007624,Prédio,05/06/2024,10h00
1555518752881,DF ,TAGUATINGA ,TAGUATINGA ,"0 QI 24 N SN APTO 904 D1427LOTES 14 A 27 VAGA DE G, N. 0, Apto 904, TORRE D ",156978.0,243000.0,35.4,"Apartamento, 83.99 de área total, 49.71 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518752881,Apartamento,24/05/2024,10h00
1444407401639,DF ,TAGUATINGA ,TAGUATINGA NORTE ,"QUADRA CNB 6, N. SN, Apto 101, LT 14 ",606510.87,565000.0,0.0,"Apartamento, 0.00 de área total, 100.19 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407401639,Apartamento,08/07/2024,10h00
1444401708520,DF ,TAGUATINGA ,TAGUATINGA NORTE ,"QUADRA QNJ 25, N. 30, LT 30 ",462000.0,399000.0,0.0,"Casa, 0.00 de área total, 140.97 de área privativa, 250.00 de área do terreno,  3 qto(s), WC, churrasqueira, 1 sala(s), piscina, cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401708520,Casa,08/07/2024,10h00
